Mark;Site;Longit_d;Latit_d;Altit_d;X_m;Y_m;Z_m;Country;Section
720;720;87.71224;43.79676;900.751;184094.731;4608108.708;4392442.990;China;
2100;2100;87.68651;43.79479;902.721;186170.656;4608178.544;4392286.149;China;
AAC4;AACH;73.75466;42.16804;2263.169;1324947.743;4547063.669;4260975.701;Kyrgyzstan;
AACH;AACH;73.75467;42.16806;2262.928;1324945.818;4547062.314;4260977.350;Kyrgyzstan;
ABD5;ABDU;72.04979;41.78405;1102.343;1468168.951;4531956.227;4228482.646;Kyrgyzstan;
ABDU;ABDU;72.04999;41.78407;1107.096;1468153.615;4531963.126;4228487.801;Kyrgyzstan;
ABD4;ABDU;72.05016;41.78408;1109.159;1468141.071;4531968.126;4228489.910;Kyrgyzstan;
ABD6;ABDU;72.05016;41.78408;1108.959;1468140.386;4531968.300;4228489.888;Kyrgyzstan;
ABSH;ABSH;76.45319;42.13989;2267.296;1109890.721;4606445.377;4258659.124;Kyrgyzstan;
ABS5;ABSH;76.45319;42.13991;2267.236;1109890.266;4606443.567;4258661.094;Kyrgyzstan;
ABS4;ABSH;76.45324;42.13992;2267.243;1109886.304;4606443.597;4258662.103;Kyrgyzstan;
ACH4;ACH4;74.74479;41.18401;2282.960;1265307.013;4639429.246;4179327.500;Kyrgyzstan;
ACH5;ACH4;74.74479;41.18404;2282.855;1265306.400;4639427.077;4179329.916;Kyrgyzstan;
ADA5;ADAR;75.52485;44.13148;599.199;1146253.838;4440176.603;4419006.181;Kazakhstan;
ADA4;ADAR;75.52482;44.13149;599.147;1146256.085;4440175.018;4419007.102;Kazakhstan;
ADAR;ADAR;75.52487;44.13149;598.989;1146251.843;4440176.442;4419006.568;Kazakhstan;
ADA1;ADAR;75.52486;44.13151;597.591;1146253.787;4440173.419;4419007.120;Kazakhstan;
ADA6;ADAR;75.52493;44.13157;598.104;1146246.084;4440170.963;4419012.239;Kazakhstan;
AIB4;AIB4;79.96849;42.89626;1864.973;815412.628;4609606.600;4320335.257;Kazakhstan;
AKA4;AKAY;76.79672;42.15655;1966.879;1081917.431;4611590.571;4259830.337;Kyrgyzstan;
AKA5;AKAY;76.79670;42.15657;1967.389;1081919.221;4611589.408;4259831.898;Kyrgyzstan;
AKAY;AKAY;76.79666;42.15658;1967.710;1081921.672;4611588.035;4259833.245;Kyrgyzstan;
AKB4;AKBA;76.95643;42.07270;1982.365;1070472.225;4620686.124;4252929.565;Kyrgyzstan;
AKBA;AKBA;76.95643;42.07270;1982.365;1070473.967;4620685.546;4252928.681;Kyrgyzstan;
AKB7;AKBA;76.95641;42.07272;1981.389;1070471.906;4620684.018;4252930.499;Kyrgyzstan;
AKC4;AKC4;75.07417;41.36729;1719.973;1235046.661;4633239.042;4194258.313;Kyrgyzstan;
AKC5;AKC4;75.07421;41.36730;1719.853;1235042.795;4633238.552;4194259.801;Kyrgyzstan;
AKD4;AKDR;80.13471;47.88171;572.605;734307.323;4222493.550;4708489.904;Kazakhstan;
AKD5;AKDR;80.13471;47.88173;572.822;734307.314;4222492.075;4708491.566;Kazakhstan;
AKDR;AKDR;80.13471;47.88173;572.822;734305.261;4222495.321;4708488.271;Kazakhstan;
AKJ6;AKJL;72.14494;41.55706;772.624;1465705.845;4550109.881;4209428.701;Kyrgyzstan;
AKJ4;AKJL;72.14494;41.55708;772.626;1465705.477;4550108.488;4209430.315;Kyrgyzstan;
AKJ5;AKJL;72.14493;41.55715;774.219;1465704.376;4550104.058;4209437.853;Kyrgyzstan;
AKJL;AKJL;72.14496;41.55719;775.140;1465701.841;4550102.740;4209441.621;Kyrgyzstan;
AKK4;AKKM;76.85378;42.88532;2719.746;1065003.225;4559906.683;4320026.610;Kyrgyzstan;
AKME;AKME;76.98110;36.84606;3003.700;1151741.251;4981242.813;3805537.002;China;
AKS5;AKSA;75.96706;40.71702;3337.707;1174494.525;4699126.209;4140832.880;Kyrgyzstan;
AKSA;AKSA;75.96709;40.71709;3340.283;1174491.113;4699124.162;4140840.128;Kyrgyzstan;
AKS4;AKSA;75.96714;40.71713;3341.224;1174486.398;4699122.773;4140844.441;Kyrgyzstan;
AKS6;AKSA;75.96729;40.71739;3340.006;1174469.056;4699107.057;4140865.157;Kyrgyzstan;
AKH4;AKSH;78.54173;41.79523;3445.155;946539.408;4669792.872;4230970.293;Kyrgyzstan;
AKSH;AKSH;78.54180;41.79526;3444.764;946534.557;4669791.316;4230972.723;Kyrgyzstan;
AKH6;AKSH;78.54170;41.79527;3445.860;946541.176;4669789.632;4230974.510;Kyrgyzstan;
AKH5;AKSH;78.54172;41.79527;3445.980;946539.349;4669790.208;4230974.462;Kyrgyzstan;
AKTA;AKTA;78.96608;39.87701;1062.140;938250.311;4811665.168;4068197.385;China;
AKTE;AKTE;76.38688;42.61851;1961.570;1106731.182;4570098.134;4297739.373;Kyrgyzstan;
KTE4;AKTE;76.38696;42.61851;1962.995;1106725.361;4570100.135;4297740.783;Kyrgyzstan;
AKT4;AKTO;79.85126;43.42706;1223.512;817650.556;4567750.474;4362921.234;Kazakhstan;
