Mark;Data;X_m;Y_m;Z_m;Longit_d;Latit_d;Altit_d
0720;20091124;184094.73107;4608108.70763;4392442.98958;87.7122403911;43.7967590647;900.74351
0720;20091125;184094.72593;4608108.70075;4392442.98806;87.7122404515;43.7967590990;900.73735
0DCT;20091124;179144.10663;4590909.26319;4410010.50126;87.7653672257;44.0191305718;561.34085
0DCT;20091125;179144.10075;4590909.25366;4410010.49990;87.7653672944;44.0191306240;561.33289
0SMG;20091124;184063.80877;4608107.82968;4392445.48518;87.7126238214;43.7967884257;900.94663
0SMG;20091125;184063.80224;4608107.82577;4392445.48576;87.7126239005;43.7967884554;900.94403
0SRG;20091124;177390.14444;4603665.86490;4397306.15561;87.7933496451;43.8576343878;876.01332
0SRG;20091125;177390.13964;4603665.86141;4397306.15619;87.7933497031;43.8576344144;876.01107
2100;20091124;186170.65643;4608178.54354;4392286.14863;87.6865056032;43.7947866961;902.71411
2100;20091125;186170.65019;4608178.53832;4392286.14687;87.6865056781;43.7947867187;902.70895
AAC4;19950713;1324947.74333;4547063.66881;4260975.70076;73.7546509462;42.1680410646;2263.18450
AAC4;19950714;1324947.37306;4547063.76331;4260975.68104;73.7546555664;42.1680410107;2263.16173
AAC4;19960615;1324947.35201;4547063.76109;4260975.68600;73.7546558034;42.1680410922;2263.15911
AAC4;19960616;1324947.25425;4547063.80867;4260975.59191;73.7546570999;42.1680403538;2263.10954
AAC4;19970823;1324947.32133;4547063.76707;4260975.68405;73.7546561800;42.1680410964;2263.15570
AAC4;19970824;1324947.31900;4547063.77258;4260975.69800;73.7546562257;42.1680411614;2263.16850
AKB4;20080601;1070471.58498;4620686.16168;4252929.64172;76.9564248152;42.0726998175;1982.31709
AKB4;20080602;1070471.58175;4620686.15739;4252929.62963;76.9564248416;42.0726997664;1982.30535
AKB4;20100609;1070471.52408;4620686.14962;4252929.64873;76.9564254991;42.0727000181;1982.30286
AKB4;20100610;1070471.52556;4620686.14569;4252929.64719;76.9564254709;42.0727000289;1982.29924
AKB4;20120604;1070471.46401;4620686.15373;4252929.66823;76.9564262171;42.0727002060;1982.30884
AKB4;20120605;1070471.46457;4620686.15598;4252929.66991;76.9564262167;42.0727002032;1982.31168
AKB4;20140604;1070471.40459;4620686.14837;4252929.67707;76.9564269019;42.0727003774;1982.30093
ALAT;20010713;1236114.15065;4522675.81437;4310971.85879;74.7135546453;42.7892697632;913.48356
ALAT;20010919;1236114.13473;4522675.79092;4310971.84146;74.7135547574;42.7892698126;913.45211
ALAT;20010920;1236114.13210;4522675.79266;4310971.84416;74.7135547941;42.7892698244;913.45467
ALAT;20011127;1236114.13337;4522675.80224;4310971.85321;74.7135548100;42.7892698256;913.46785
ALAT;20011128;1236114.13017;4522675.80020;4310971.85018;74.7135548410;42.7892698228;913.46373
ALAT;20020128;1236114.13315;4522675.81095;4310971.85604;74.7135548406;42.7892697933;913.47589
ALAT;20020129;1236114.13077;4522675.81393;4310971.85652;74.7135548782;42.7892697827;913.47786
