Mark;Site;Longit_d;Latit_d;Altit_m;X_m;Y_m;Z_m;Country
720;720;87.71224;43.79676;900.75113;184094.7311;4608108.708;4392442.99;China
2100;2100;87.68651;43.79479;902.72141;186170.6564;4608178.544;4392286.149;China
AAC4;AACH;73.75466;42.16804;2263.16912;1324947.743;4547063.669;4260975.701;Kyrgyzstan
AACH;AACH;73.75467;42.16806;2262.92754;1324945.818;4547062.314;4260977.35;Kyrgyzstan
ABD4;ABDU;72.05016;41.78408;1109.15884;1468141.071;4531968.126;4228489.91;Kyrgyzstan
ABD5;ABDU;72.04979;41.78405;1102.3428;1468168.951;4531956.227;4228482.646;Kyrgyzstan
ABD6;ABDU;72.05016;41.78408;1108.9589;1468140.386;4531968.3;4228489.888;Kyrgyzstan
ABDU;ABDU;72.04999;41.78407;1107.0963;1468153.615;4531963.126;4228487.801;Kyrgyzstan
ABS4;ABSH;76.45324;42.13992;2267.2428;1109886.304;4606443.597;4258662.103;Kyrgyzstan
ABS5;ABSH;76.45319;42.13991;2267.23567;1109890.266;4606443.567;4258661.094;Kyrgyzstan
ABSH;ABSH;76.45319;42.13989;2267.2955;1109890.721;4606445.377;4258659.124;Kyrgyzstan
ACH4;ACH4;74.74479;41.18401;2282.95998;1265307.013;4639429.246;4179327.5;Kyrgyzstan
ACH5;ACH4;74.74479;41.18404;2282.85492;1265306.4;4639427.077;4179329.916;Kyrgyzstan
ADA1;ADAR;75.52486;44.13151;597.59062;1146253.787;4440173.419;4419007.12;Kazakhstan
ADA4;ADAR;75.52482;44.13149;599.1469;1146256.085;4440175.018;4419007.102;Kazakhstan
ADA5;ADAR;75.52485;44.13148;599.19858;1146253.838;4440176.603;4419006.181;Kazakhstan
ADA6;ADAR;75.52493;44.13157;598.10447;1146246.084;4440170.963;4419012.239;Kazakhstan
ADAR;ADAR;75.52487;44.13149;598.98901;1146251.843;4440176.442;4419006.568;Kazakhstan
AIB4;AIB4;79.96849;42.89626;1864.97264;815412.6281;4609606.6;4320335.257;Kazakhstan
AKA4;AKAY;76.79672;42.15655;1966.87893;1081917.431;4611590.571;4259830.337;Kyrgyzstan
AKA5;AKAY;76.7967;42.15657;1967.38912;1081919.221;4611589.408;4259831.898;Kyrgyzstan
AKAY;AKAY;76.79666;42.15658;1967.71022;1081921.672;4611588.035;4259833.245;Kyrgyzstan
AKB4;AKBA;76.95643;42.0727;1982.36495;1070472.225;4620686.124;4252929.565;Kyrgyzstan
AKB7;AKBA;76.95641;42.07272;1981.38908;1070471.906;4620684.018;4252930.499;Kyrgyzstan
AKBA;AKBA;76.95643;42.0727;1982.36495;1070473.967;4620685.546;4252928.681;Kyrgyzstan
AKC4;AKC4;75.07417;41.36729;1719.97287;1235046.661;4633239.042;4194258.313;Kyrgyzstan
AKC5;AKC4;75.07421;41.3673;1719.85308;1235042.795;4633238.552;4194259.801;Kyrgyzstan
AKD4;AKDR;80.13471;47.88171;572.6052;734307.323;4222493.55;4708489.904;Kazakhstan
AKD5;AKDR;80.13471;47.88173;572.82226;734307.3135;4222492.075;4708491.566;Kazakhstan
AKDR;AKDR;80.13471;47.88173;572.82226;734305.2612;4222495.321;4708488.271;Kazakhstan
AKH4;AKSH;78.54173;41.79523;3445.15515;946539.4081;4669792.872;4230970.293;Kyrgyzstan
AKH5;AKSH;78.54172;41.79527;3445.97993;946539.3492;4669790.208;4230974.462;Kyrgyzstan
AKH6;AKSH;78.5417;41.79527;3445.86043;946541.1763;4669789.632;4230974.51;Kyrgyzstan
AKJ4;AKJL;72.14494;41.55708;772.62645;1465705.477;4550108.488;4209430.315;Kyrgyzstan
AKJ5;AKJL;72.14493;41.55715;774.21904;1465704.376;4550104.058;4209437.853;Kyrgyzstan
AKJ6;AKJL;72.14494;41.55706;772.62374;1465705.845;4550109.881;4209428.701;Kyrgyzstan
AKJL;AKJL;72.14496;41.55719;775.13996;1465701.841;4550102.74;4209441.621;Kyrgyzstan
AKK4;AKKM;76.85378;42.88532;2719.74599;1065003.225;4559906.683;4320026.61;Kyrgyzstan
AKME;AKME;76.9811;36.84606;3003.6997;1151741.251;4981242.813;3805537.002;China
AKQI;I072;78.45139;40.9416;1946.10524;966224.6119;4728605.418;4158801.823;China
